*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
                     ECIs                 ECI/mult    Cluster#
   -4.1271247505903350117   -4.1271247505903350117           0
   -7.3743438633015623296   -3.6871719316507811648           1
    2.4954977947217429346    1.2477488973608714673           2
   -6.8594707010479112341   -6.8594707010479112341           3
    3.2738514932123199408    3.2738514932123199408           4
   -4.1269898005045293488   -0.5158737250630661686           5
   -1.9775196273931212598   -0.2471899534241401575           6
    7.9212374594151180318    0.9901546824268897540           7
    2.7757231176143228879    0.3469653897017903610           8
   -3.0097658379128864325   -0.2508138198260738694           9
    0.4316855286503222811    0.0719475881083870422          11
   -0.3621763159738506932   -0.0452720394967313366          22
    0.3602819434741469928    0.1200939811580489930          29
    0.0736501516537858419    0.0061375126378154865          56
    0.1182422954556231059    0.0098535246213019255          61
    0.1628127569362970706    0.0135677297446914220          74
   -0.0960023286950726501   -0.0120002910868840813          89
   -0.0251753662037004326   -0.0010489735918208514         119
   -0.3379080092220612674   -0.0070397501921262767         149
    0.1165221622550630665    0.0048550900939609608         195
    0.1472945755273105395    0.0061372739803046061         203
    0.2515077675931546297    0.0209589806327628858         207
    0.7477001306050417018    0.0623083442170868085         263
    0.1552379417641984449    0.0064682475735082685         282
    0.2371204402370026554    0.0049400091716042217         519
   -0.0845872529705598702   -0.0017622344368866639         527
   -0.0838138817534560127   -0.0034922450730606670         529
    0.0411053184144288958    0.0017127216006012039         531
    0.1865699590109861083    0.0077737482921244215         540
    0.0174047986651205237    0.0007251999443800218         543
   -0.2632778827362907692   -0.0109699117806787826         544
   -0.0244839790729204816   -0.0010201657947050201         545
    0.1889215269031812861    0.0039358651438162768         564
   -0.2018574034470945189   -0.0042053625718144689         572
   -0.1529483258037808435   -0.0063728469084908682         574
    0.0743384666812018369    0.0030974361117167433         577
    0.1298625226891467199    0.0027054692226905568         584
   -0.2575391023601300011   -0.0053653979658360414         587
    0.0118696390120217304    0.0014837048765027163         636
   -0.0438688288913220842   -0.0054836036114152605         637
   -0.0210200756218255486   -0.0017516729684854623         912
    0.1151711169164639503    0.0191951861527439906         984
   -0.1945946251757078027   -0.0162162187646423157         986
    0.0186631596895228610    0.0031105266149204767         989
   -0.0737868258732440468   -0.0030744510780518351         996
   -0.1045724873215503753   -0.0021785934858656328        1063
   -0.2169306916650187989   -0.0045193894096878916        1066
   -0.0430469329916270682   -0.0008968111039922306        1069
   -0.0348022213438741804   -0.0029001851119895149        1071
    0.1891967769713314151    0.0078831990404721417        1072
    0.0496203319410204319    0.0041350276617517024        1075
    0.2132749551283539269    0.0088864564636814136        1089
   -0.1625094189519429855   -0.0203136773689928732        1090
   -0.0106175267013819755   -0.0013271908376727469        1091
   -0.0314586104681618337   -0.0039323263085202292        1135
    0.0485360039189831199    0.0040446669932485933        1136
   -0.3305993628637055592   -0.0413249203579631949        1137
    0.2690946940950117994    0.1345473470475058997        1138
   -0.0787163189253107798   -0.0393581594626553899        1139
