*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
                     ECIs                 ECI/mult    Cluster#
   -0.1513792061410458301   -0.1513792061410458301           0
    0.0704107511277461684    0.0352053755638730842           1
    0.0616473782729178715    0.0154118445682294679           2
    0.1057914960882618272    0.0088159580073551517           3
   -0.0499986546493096859   -0.0041665545541091408           4
    0.0083281277162452119    0.0013880212860408686           5
    0.0045400052340916243    0.0003783337695076354           8
   -0.0044190634121932214   -0.0011047658530483053           9
   -0.0009367731244613992   -0.0000780644270384499          10
   -0.0179501919503759211   -0.0007479246645989967          11
   -0.0001372068763747280   -0.0000114339063645607          13
   -0.0472249632308801570   -0.0039354136025733467          14
    0.0184704490832245521    0.0023088061354030690          15
   -0.0018119246855699508   -0.0001509937237974959          19
    0.0140255911680487750    0.0005843996320020323          21
   -0.0125222481841162740   -0.0005217603410048447          23
   -0.0103089163117735892   -0.0002147690898286164          25
   -0.0128459951258932063   -0.0002676248984561084          30
    0.0113526938950153887    0.0002365144561461539          33
    0.0019519701401250397    0.0000406660445859383          36
   -0.0228686153357420680   -0.0004764294861612931          41
    0.0074416671624857912    0.0003100694651035746          48
    0.0025401465318552106    0.0001058394388273004          51
    0.0000395068119527940    0.0000016461171646997          58
    0.0012973464563527434    0.0001081122046960620          59
   -0.0046619759038201546   -0.0001942489959925064          61
   -0.0000657607133153475   -0.0000082200891644184          62
    0.0105595252300454429    0.0004399802179185601          67
    0.0083632644706620185    0.0001742346764721254          73
    0.0010327610862618526    0.0000215158559637886          78
    0.0039291410851923659    0.0000818571059415076          85
   -0.0040528679256289181   -0.0003377389938024099          86
   -0.0018774595957760940   -0.0002346824494720117          88
    0.0138864054004558049    0.0002893001125094960          93
    0.0052243715548319931    0.0002176821481179997          94
   -0.0003277638821087376   -0.0000273136568423948          98
